paese,central_bank_rates,variation,period
Argentina,118.00 %,+2100 bp,Aug 23
Australia,4.10 %,+25 bp,Jun 23
Austria,4.25 %,+25 bp,Jul 23
Bahrain,6.25 %,+25 bp,Jul 23
Bangladesh,6.00 %,+25 bp,Jan 23
Belgium,4.25 %,+25 bp,Jul 23
Botswana,2.65 %,+50 bp,Aug 22
Brazil,13.25 %,-50 bp,Aug 23
Bulgaria,3.12 %,+16 bp,Jul 23
Canada,5.00 %,+25 bp,Jul 23
Chile,10.25 %,-100 bp,Jul 23
China,3.45 %,-10 bp,Aug 23
Colombia,13.25 %,+25 bp,Apr 23
Croatia,4.25 %,+25 bp,Jul 23
Cyprus,4.25 %,+25 bp,Jul 23
Czech Republic,7.00 %,+125 bp,Jun 22
Denmark,3.35 %,+25 bp,Jul 23
Egypt,19.25 %,+100 bp,Aug 23
Finland,4.25 %,+25 bp,Jul 23
France,4.25 %,+25 bp,Jul 23
Germany,4.25 %,+25 bp,Jul 23
Greece,4.25 %,+25 bp,Jul 23
Hong Kong,5.75 %,+25 bp,Jul 23
Hungary,14.00 %,-100 bp,Aug 23
Iceland,9.25 %,+50 bp,Aug 23
India,6.50 %,+25 bp,Feb 23
Indonesia,5.75 %,+25 bp,Jan 23
Ireland,4.25 %,+25 bp,Jul 23
Israel,4.75 %,+25 bp,May 23
Italy,4.25 %,+25 bp,Jul 23
Japan,-0.10 %,-10 bp,Jan 16
Jordan,7.50 %,+25 bp,Jul 23
Kazakhstan,16.50 %,-25 bp,Aug 23
Kenya,10.50 %,+100 bp,Jun 23
Latvia,4.25 %,+25 bp,Jul 23
Lithuania,4.25 %,+25 bp,Jul 23
Malaysia,3.00 %,+25 bp,May 23
Malta,4.25 %,+25 bp,Jul 23
Mauritius,4.50 %,+50 bp,Dec 22
Mexico,11.25 %,+25 bp,Mar 23
Morocco,3.00 %,+50 bp,Mar 23
Namibia,7.75 %,+50 bp,Jun 23
Netherlands,4.25 %,+25 bp,Jul 23
New Zealand,5.50 %,+25 bp,May 23
Nigeria,18.75 %,+25 bp,Jul 23
Norway,4.00 %,+25 bp,Aug 23
Pakistan,22.00 %,+100 bp,Jun 23
Perù,7.75 %,+25 bp,Jan 23
Philippines,6.25 %,+25 bp,Mar 23
Poland,6.75 %,+25 bp,Sep 22
Portugal,4.25 %,+25 bp,Jul 23
Qatar,6.25 %,+25 bp,Jul 23
Romania,7.00 %,+25 bp,Jan 23
Russia,12.00 %,+350 bp,Aug 23
Serbia,6.50 %,+25 bp,Jul 23
Singapore,3.82 %,+13 bp,Aug 23
Slovakia,4.25 %,+25 bp,Jul 23
Slovenia,4.25 %,+25 bp,Jul 23
South Africa,8.25 %,+50 bp,May 23
South Korea,3.50 %,+25 bp,Jan 23
Spain,4.25 %,+25 bp,Jul 23
Sri Lanka,11.00 %,-200 bp,Jul 23
Sweden,3.75 %,+25 bp,Jun 23
Switzerland,1.75 %,+25 bp,Jun 23
Taiwan,1.88 %,+13 bp,Mar 23
Thailand,2.25 %,+25 bp,Aug 23
Turkey,25.00 %,+750 bp,Aug 23
Uganda,9.50 %,-50 bp,Aug 23
Ukraine,22.00 %,-300 bp,Jul 23
United Kingdom,5.25 %,+25 bp,Aug 23
United States,5.50 %,+25 bp,Jul 23
Venezuela,55.78 %,+54 bp,Jul 23
Vietnam,4.50 %,-50 bp,Jun 23
Zambia,10.00 %,+50 bp,Aug 23
